key,ar,en,fr,ge,ja,ko,po,sp,tu,ta
Clan.War.Pvp.MaxResets,تم بلوغ الحد الأقصى لإعادة تعيين الجولات في هذه الحرب,Maximum round resets reached for this war,Nombre maximal de réinitialisations de manche atteint pour cette guerre,Maximale Rundenresets für diesen Krieg erreicht,この戦争でのラウンドリセット回数が上限に達しました,이번 전쟁의 최대 라운드 초기화 횟수에 도달했습니다,Número máximo de reinícios de rodada atingido nesta guerra,Se alcanzó el máximo de reinicios de ronda en esta guerra,Bu savaş için azami tur sıfırlama sayısına ulaşıldı,Raggiunto il numero massimo di reset dei round per questa guerra
Clan.War.Pvp.NoEnemies,لا يوجد أعضاء في عشيرة الخصم,No Enemy Clan Members,Aucun membre dans le clan ennemi,Keine gegnerischen Clanmitglieder,敵クランにメンバーがいません,적 클랜에 멤버가 없습니다,Não há membros no clã inimigo,No hay miembros en el clan enemigo,Düşman Klan Üyesi Yok,Nessun membro nel clan nemico
Clan.War.Pvp.NoRefreshSmallClan,لا تتجدد التذاكر وحالة الهزيمة في هذه الجولة لأن إحدى العشيرتين بدأت الجولة بأقل من 30 عضوًا,Tickets and defeated status do not refresh for this round because one clan started the round below 30 members,"Les tickets et les statuts de défaite ne se rechargent pas pour cette manche, car un clan l'a commencée avec moins de 30 membres","Tickets und Besiegt-Status werden in dieser Runde nicht aufgefrischt, da ein Clan die Runde mit weniger als 30 Mitgliedern begonnen hat",いずれかのクランが30人未満でラウンドを開始したため、このラウンドではチケットと撃破状況は回復しません,한 클랜이 30명 미만으로 라운드를 시작했기 때문에 이번 라운드에서는 티켓과 처치 상태가 초기화되지 않습니다,Os tickets e os status de derrota não recarregam nesta rodada porque um clã a começou com menos de 30 membros,Los tickets y los estados de derrota no se recargan en esta ronda porque un clan la comenzó con menos de 30 miembros,Bir klan tura 30 üyenin altında başladığı için bu turda biletler ve yenilme durumları yenilenmez,I biglietti e lo stato di sconfitta non si ricaricano in questo round perché un clan lo ha iniziato con meno di 30 membri
Clan.War.Pvp.NoTicketsButton,لا تذاكر,No Tickets,Pas de tickets,Keine Tickets,チケットなし,티켓 없음,Sem tickets,Sin tickets,Bilet Yok,Niente biglietti
Clan.War.Pvp.RefreshAt,تتجدد التذاكر عند هزيمة {0} لاعبًا,Tickets refresh when {0} players are defeated,Les tickets se rechargent quand {0} joueurs sont vaincus,"Tickets werden aufgefrischt, wenn {0} Spieler besiegt sind",{0}人のプレイヤーを撃破するとチケットが回復します,{0}명의 플레이어를 처치하면 티켓이 충전됩니다,Os tickets recarregam quando {0} jogadores forem derrotados,Los tickets se recargan cuando {0} jugadores son derrotados,{0} oyuncu yenildiğinde biletler yenilenir,I biglietti si ricaricano quando {0} giocatori vengono sconfitti
Clan.War.Pvp.Tickets,{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1},{0}/{1}
Clan.War.Pvp.Title,اليوم 6: PvP,Day 6 PvP,Jour 6 : PvP,Tag 6: PvP,6日目 PvP,6일 차 PvP,Dia 6: PvP,Día 6: PvP,6. Gün PvP,Giorno 6: PvP
Clan.War.Result.Ended,انتهت الحرب,War Ended,Guerre terminée,Krieg beendet,戦争終了,전쟁 종료,Guerra encerrada,Guerra terminada,Savaş Bitti,Guerra finita
Clan.War.Result.LeadershipTitle,نتيجة حرب البطولة,Championship War Result,Résultat de la guerre de championnat,Ergebnis des Meisterschaftskriegs,チャンピオンシップ戦の結果,챔피언십 전쟁 결과,Resultado da guerra de campeonato,Resultado de la guerra de campeonato,Şampiyonluk Savaşı Sonucu,Risultato della guerra di campionato
Clan.War.Result.Loss,خسارة,Loss,Défaite,Niederlage,敗北,패배,Derrota,Derrota,Yenilgi,Sconfitta
Clan.War.Result.NewWarStartsIn,تبدأ الحرب الجديدة خلال: {0},New War Starts in: {0},Nouvelle guerre commence dans : {0},Neuer Krieg beginnt in: {0},新しい戦争開始まで: {0},새 전쟁 시작까지: {0},Nova guerra começa em: {0},Nueva guerra comienza en: {0},Yeni savaşın başlamasına: {0},Nuova guerra inizia tra: {0}
Clan.War.Result.Subtitle,فترة المكافآت,Reward Cooldown,Période de récompenses,Belohnungsphase,報酬期間,보상 기간,Período de recompensas,Período de recompensas,Ödül Dönemi,Periodo ricompense
Clan.War.Result.Title,نتيجة الحرب,War Result,Résultat de la guerre,Kriegsergebnis,戦争結果,전쟁 결과,Resultado da guerra,Resultado de la guerra,Savaş Sonucu,Risultato della guerra
Clan.War.Result.Win,فوز,Win,Victoire,Sieg,勝利,승리,Vitória,Victoria,Zafer,Vittoria
Clan.War.RewardCard.Claim,استلام,Claim,Réclamer,Abholen,受け取る,받기,Resgatar,Reclamar,Topla,Riscuoti
Clan.War.RewardCard.ClaimClan,اجمع مكافأة العشيرة,Claim Clan Reward,Récupérer la récompense de clan,Clan-Belohnung abholen,クラン報酬を受け取る,클랜 보상 받기,Resgatar recompensa do clã,Reclamar recompensa del clan,Klan Ödülünü Topla,Riscuoti la ricompensa del clan
Clan.War.RewardCard.ClaimPersonal,اجمع المكافآت الشخصية المتبقية,Claim Remaining Personal Rewards,Récupérer les récompenses personnelles restantes,Verbleibende persönliche Belohnungen abholen,残りの個人報酬を受け取る,남은 개인 보상 받기,Resgatar recompensas pessoais restantes,Reclamar recompensas personales restantes,Kalan Kişisel Ödülleri Topla,Riscuoti le ricompense personali rimanenti
Clan.War.RewardCard.Claimed,تم الجمع,Claimed,Récupéré,Abgeholt,受取済み,수령 완료,Resgatado,Reclamado,Toplandı,Riscosso
Clan.War.RewardCard.ClanTitle,مكافآت العشيرة,Clan Rewards,Récompenses de clan,Clan-Belohnungen,クラン報酬,클랜 보상,Recompensas do clã,Recompensas de clan,Klan Ödülleri,Ricompense del clan
Clan.War.RewardCard.PersonalTitle,المكافآت الشخصية,Personal Rewards,Récompenses personnelles,Persönliche Belohnungen,個人報酬,개인 보상,Recompensas pessoais,Recompensas personales,Kişisel Ödüller,Ricompense personali
Clan.War.Rewards.CollectClan,اجمع مكافأة العشيرة,Collect Clan Reward,Récupérer la récompense de clan,Clan-Belohnung abholen,クラン報酬を受け取る,클랜 보상 받기,Resgatar recompensa do clã,Reclamar recompensa del clan,Klan Ödülünü Topla,Riscuoti la ricompensa del clan
Clan.War.Rewards.CollectPersonal,اجمع المكافآت الشخصية المتبقية,Collect Remaining Personal Rewards,Récupérer les récompenses personnelles restantes,Verbleibende persönliche Belohnungen abholen,残りの個人報酬を受け取る,남은 개인 보상 받기,Resgatar recompensas pessoais restantes,Reclamar recompensas personales restantes,Kalan Kişisel Ödülleri Topla,Riscuoti le ricompense personali rimanenti
Clan.War.Rewards.LoseCard,خسارة,Lose,Défaite,Niederlage,敗北,패배,Derrota,Derrota,Yenilgi,Sconfitta
Clan.War.Rewards.MyScore,نقاطك: {0},Your Score: {0},Votre score : {0},Deine Punkte: {0},あなたのスコア：{0},내 점수: {0},Sua pontuação: {0},Tu puntuación: {0},Puanın: {0},Il tuo punteggio: {0}
Clan.War.Rewards.TierHeader,مكافآت الفئة {0},Tier {0} Rewards,Récompenses de rang {0},Stufe-{0}-Belohnungen,ティア{0}報酬,티어 {0} 보상,Recompensas de categoria {0},Recompensas de rango {0},Kademe {0} Ödülleri,Ricompense di grado {0}
Clan.War.Rewards.Title,مكافآت الحرب,War Rewards,Récompenses de guerre,Kriegsbelohnungen,戦争報酬,전쟁 보상,Recompensas de guerra,Recompensas de guerra,Savaş Ödülleri,Ricompense di guerra
Clan.War.Rewards.WinCard,فوز,Win,Victoire,Sieg,勝利,승리,Vitória,Victoria,Zafer,Vittoria
Clan.War.ScoreFormat,{0} : {1},{0} : {1},{0} : {1},{0} : {1},{0} : {1},{0} : {1},{0} : {1},{0} : {1},{0} : {1},{0} : {1}
Clan.War.TierFormat,الفئة {0},Tier {0},Rang {0},Stufe {0},ティア{0},티어 {0},Categoria {0},Rango {0},Kademe {0},Grado {0}
Clan.War.TimeLeft,ينتهي خلال {0},Ends in {0},Se termine dans {0},Endet in {0},終了まで {0},종료까지 {0},Termina em {0},Termina en {0},Kalan süre: {0},Termina tra {0}
Clan.War.Waiting.Body,ستتم مطابقة عشيرتك عند بداية أسبوع الحرب القادم.,Your clan will be matched when the next war week begins.,Votre clan sera apparié au début de la prochaine semaine de guerre.,Dein Clan wird zu Beginn der nächsten Kriegswoche zugeteilt.,次の戦争週間が始まると、クランがマッチングされます。,다음 전쟁 주가 시작되면 클랜이 매칭됩니다.,Seu clã será pareado quando a próxima semana de guerra começar.,Tu clan será emparejado cuando comience la próxima semana de guerra.,Klanın bir sonraki savaş haftası başladığında eşleştirilecek.,Il tuo clan verrà abbinato all'inizio della prossima settimana di guerra.
Clan.War.Waiting.Countdown,يبدأ خلال {0},Starts in {0},Commence dans {0},Beginnt in {0},開始まで {0},시작까지 {0},Começa em {0},Comienza en {0},Başlamasına kalan: {0},Inizia tra {0}
Clan.War.Waiting.Title,في انتظار الحرب,Waiting For War,En attente de guerre,Warten auf den Krieg,戦争を待機中,전쟁 대기 중,Aguardando a guerra,Esperando la guerra,Savaş Bekleniyor,In attesa della guerra
Common.Back,رجوع,Back,Retour,Zurück,戻る,뒤로,Voltar,Atrás,Geri,Indietro
Common.Battle,معركة,Battle,Combat,Kampf,バトル,전투,Batalha,Batalla,Savaş,Battaglia
Common.Block,حظر,Block,Bloquer,Blockieren,ブロック,차단,Bloquear,Bloquear,Engelle,Blocca
Common.BossRush.Boss.1,الليش المظلم,Dark Lich,Liche Sombre,Dunkler Lich,ダークリッチ,다크 리치,Lich Sombrio,Liche Oscuro,Karanlık Lich,Lich Oscuro
Common.BossRush.Boss.10,الساحرة البنفسجية,Purple Hag,Sorcière Pourpre,Lila Hexe,パープルハッグ,퍼플 해그,Bruxa Roxa,Bruja Púrpura,Mor Cadı,Strega Viola
Common.BossRush.Boss.2,التنين الأسود,Black Dragon,Dragon Noir,Schwarzer Drache,ブラックドラゴン,블랙 드래곤,Dragão Negro,Dragón Negro,Kara Ejder,Drago Nero
Common.BossRush.Boss.3,التنين الأخضر,Green Dragon,Dragon Vert,Grüner Drache,グリーンドラゴン,그린 드래곤,Dragão Verde,Dragón Verde,Yeşil Ejder,Drago Verde
Common.BossRush.Boss.4,التنين الأحمر,Red Dragon,Dragon Rouge,Roter Drache,レッドドラゴン,레드 드래곤,Dragão Vermelho,Dragón Rojo,Kızıl Ejder,Drago Rosso
Common.BossRush.Boss.5,الليش القرمزي,Crimson Lich,Liche Cramoisie,Karmesin-Lich,クリムゾンリッチ,크림슨 리치,Lich Carmesim,Liche Carmesí,Kızıl Lich,Lich Cremisi
Common.BossRush.Boss.6,الليش العتيق,Elder Lich,Liche Ancestrale,Uralter Lich,エルダーリッチ,엘더 리치,Lich Ancião,Liche Ancestral,Kadim Lich,Lich Antico
Common.BossRush.Boss.7,ملك الغول,Ogre King,Roi Ogre,Ogerkönig,オーガキング,오우거 킹,Rei Ogro,Rey Ogro,Devasa Kral,Re Ogre
Common.BossRush.Boss.8,زعيم الغول,Ogre Chieftain,Chef Ogre,Ogerhäuptling,オーガチーフ,오우거 족장,Chefe Ogro,Jefe Ogro,Devasa Reis,Capo Ogre
Common.BossRush.Boss.9,الساحرة الخضراء,Green Hag,Sorcière Verte,Grüne Hexe,グリーンハッグ,그린 해그,Bruxa Verde,Bruja Verde,Yeşil Cadı,Strega Verde
Common.Cancel,إلغاء,Cancel,Annuler,Abbrechen,キャンセル,취소,Cancelar,Cancelar,İptal,Annulla
Common.Claim,استلام,Claim,Réclamer,Einlösen,受け取る,받기,Resgatar,Reclamar,Topla,Riscatta
Common.Clan.BannerLabel,,Banner,,,,,,,,
Common.Clan.BrowseLabel,,Browse,,,,,,,,
Common.Clan.ClanNameLabel,,Clan Name,,,,,,,,
Common.Clan.PublicLabel,,Public,,,,,,,,
Common.Clan.TagLabel,,Clan Tag,,,,,,,,
Common.Clan.TagPlaceholder,,Tag...,,,,,,,,
Common.Close,إغلاق,Close,Fermer,Schließen,閉じる,닫기,Fechar,Cerrar,Kapat,Chiudi
Common.Confirm,تأكيد,Confirm,Confirmer,Bestätigen,確認,확인,Confirmar,Confirmar,Onayla,Conferma
Common.Continue,متابعة,Continue,Continuer,Weiter,続ける,계속,Continuar,Continuar,Devam Et,Continua
Common.Country,الدولة,Country,Pays,Land,国,국가,País,País,Ülke,Paese
Common.DealType.Cloak,عباءة,Cloak,Cape,Umhang,マント,망토,Manto,Capa,Pelerin,Mantello
Common.DealType.Companion,رفيق,Companion,Compagnon,Begleiter,仲間,동료,Companheiro,Compañero,Yoldaş,Compagno
Common.DealType.DungeonKey,زنزانة,Dungeon,Donjon,Verlies,ダンジョン,던전,Masmorra,Mazmorra,Zindan,Dungeon
Common.DealType.Gem,جوهرة,Gem,Gemme,Edelstein,ジェム,젬,Gema,Gema,Elmas,Gemma
Common.DealType.Mining,تعدين,Mining,Mine,Mine,鉱山,광산,Mina,Mina,Maden,Miniera
Common.Difficulty,الصعوبة,Difficulty,Difficulté,Schwierigkeit,難易度,난이도,Dificuldade,Dificultad,Zorluk,Difficoltà
Common.Enter,تأكيد,Enter,Valider,Bestätigen,決定,확인,Confirmar,Aceptar,Onayla,Conferma
Common.Equip,تجهيز,Equip,Équiper,Ausrüsten,装備,장착,Equipar,Equipar,Kuşan,Equipaggia
Common.Equipped,مُجهَّز,Equipped,Équipé,Ausgerüstet,装備中,장착 중,Equipado,Equipado,Kuşanıldı,Equipaggiato
Common.Free,مجاناً,FREE,GRATUIT,GRATIS,無料,무료,GRÁTIS,GRATIS,ÜCRETSİZ,GRATIS
Common.FreeLower,مجاني,Free,Gratuit,Gratis,無料,무료,Grátis,Gratis,Ücretsiz,Gratis
Common.Leave,مغادرة,Leave,Quitter,Verlassen,退出,나가기,Sair,Salir,Ayrıl,Esci
Common.Level.Abbrev,مست {0},Lvl {0},Niv {0},Stf {0},Lv {0},Lv {0},Nív {0},Niv {0},Sv {0},Liv {0}
Common.Level.Long,المستوى {0},Level {0},Niveau {0},Stufe {0},レベル {0},레벨 {0},Nível {0},Nivel {0},Seviye {0},Livello {0}
Common.Level.Max,الأقصى,MAX,MAX,MAX,最大,최대,MÁX,MÁX,MAKS,MAX
Common.Level.Short,مس {0},Lv {0},Nv {0},St {0},Lv {0},Lv {0},Nv {0},Nv {0},Sv {0},Lv {0}
Common.Loading,جاري التحميل...,Loading...,Chargement...,Lädt...,読み込み中...,로딩 중...,Carregando...,Cargando...,Yükleniyor...,Caricamento...
Common.Lose,خسارة,Lose,Défaite,Niederlage,敗北,패배,Derrota,Derrota,Mağlubiyet,Sconfitta
Common.Max,الأقصى,MAX,MAX,MAX,最大,최대,MÁX,MÁX,MAKS,MAX
Common.No,لا,No,Non,Nein,いいえ,아니오,Não,No,Hayır,No
Common.OK,موافق,Okay,OK,OK,OK,확인,OK,OK,Tamam,OK
Common.Off,إيقاف,Off,Désactivé,Aus,オフ,끄기,Desligado,Desactivado,Kapalı,Off
Common.On,تشغيل,On,Activé,An,オン,켜기,Ligado,Activado,Açık,On
Common.Power,القوة,Power,Puissance,Kraft,パワー,파워,Poder,Poder,Güç,Potenza
Common.PvP.League.1,دوري الحديد,Iron League,Ligue de Fer,Eisenliga,アイアンリーグ,아이언 리그,Liga de Ferro,Liga de Hierro,Demir Ligi,Lega Ferro
Common.PvP.League.10,أسطورة,Legend,Légende,Legende,レジェンド,레전드,Lenda,Leyenda,Efsane,Leggenda
Common.PvP.League.2,دوري البرونز,Bronze League,Ligue de Bronze,Bronzeliga,ブロンズリーグ,브론즈 리그,Liga de Bronze,Liga de Bronce,Bronz Ligi,Lega Bronzo
Common.PvP.League.3,دوري الفضة,Silver League,Ligue d'Argent,Silberliga,シルバーリーグ,실버 리그,Liga de Prata,Liga de Plata,Gümüş Ligi,Lega Argento
Common.PvP.League.4,دوري الذهب,Gold League,Ligue d'Or,Goldliga,ゴールドリーグ,골드 리그,Liga de Ouro,Liga de Oro,Altın Ligi,Lega Oro
Common.PvP.League.5,دوري البلاتين,Platinum League,Ligue de Platine,Platinliga,プラチナリーグ,플래티넘 리그,Liga de Platina,Liga de Platino,Platin Ligi,Lega Platino
Common.PvP.League.6,دوري الزمرد,Emerald League,Ligue d'Émeraude,Smaragdliga,エメラルドリーグ,에메랄드 리그,Liga de Esmeralda,Liga de Esmeralda,Zümrüt Ligi,Lega Smeraldo
Common.PvP.League.7,دوري الماس,Diamond League,Ligue de Diamant,Diamantliga,ダイヤモンドリーグ,다이아몬드 리그,Liga de Diamante,Liga de Diamante,Elmas Ligi,Lega Diamante
Common.PvP.League.8,خبير,Master,Maître,Meister,マスター,마스터,Mestre,Maestro,Usta,Maestro
Common.PvP.League.9,خبير أعظم,Grandmaster,Grand Maître,Großmeister,グランドマスター,그랜드마스터,Grão-Mestre,Gran Maestro,Büyük Usta,Gran Maestro
Common.Rarity.Ancient,قديم,Ancient,Ancien,Antik,エンシェント,에인션트,Antigo,Antiguo,Antik,Antico
Common.Rarity.Artifact,أثري,Artifact,Artefact,Artefakt,アーティファクト,아티팩트,Artefato,Artefacto,Artefakt,Artefatto
